analog_reading,muscle_state
28,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
28,0
28,0
28,0
27,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
28,0
27,0
27,0
27,0
28,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
28,0
28,0
27,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
28,0
28,0
27,0
28,0
28,0
28,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
28,0
28,0
28,0
27,0
27,0
28,0
27,0
28,0
28,0
28,0
27,0
27,0
28,0
